;;BDRX;IBOV;IBRA;IBXL;IBXX;ICO2;ICON;IDIV;IEEX;IFIX;IFNC;IGCT;IGCX;IGNM;IMAT;IMOB;INDX;ISEE;ITAG;IVBX;MLCX;SMLL;UTIL
FII XP MALLS;CI;;;;;;;;;;XPML11;;;;;;;;;;;;;
FLEURY;ON NM;;FLRY3;FLRY3;;FLRY3;;FLRY3;;;;;FLRY3;FLRY3;FLRY3;;;;FLRY3;FLRY3;FLRY3;;FLRY3;
FORD MOTORS;DRN;FDMO34;;;;;;;;;;;;;;;;;;;;;;
FORJA TAURUS;ON N2;;;;;;;;;;;;;FJTA3;;;;;;FJTA3;;;;
FORJA TAURUS;PN N2;;;FJTA4;;;;;;;;;FJTA4;FJTA4;;;;FJTA4;;FJTA4;;;FJTA4;
FRAS-LE;ON N1;;;;;;;;;;;;;FRAS3;;;;;;;;;;
FREEPORT;DRN;FCXO34;;;;;;;;;;;;;;;;;;;;;;
GAFISA;ON NM;;;GFSA3;;GFSA3;;GFSA3;;;;;GFSA3;GFSA3;GFSA3;;GFSA3;GFSA3;;GFSA3;;;GFSA3;
GE;DRN;GEOO34;;;;;;;;;;;;;;;;;;;;;;
GEN DYNAMICS;DRN;GDBR34;;;;;;;;;;;;;;;;;;;;;;
GENERALSHOPP;ON NM;;;;;;;;;;;;;GSHP3;GSHP3;;;;;GSHP3;;;;
GER PARANAP;PN;;;;;;;;;;;;;;;;;;;GEPA4;;;;
GERDAU;ON N1;;;;;;;;;;;;;GGBR3;;;;;;GGBR3;;;;
GERDAU;PN N1;;GGBR4;GGBR4;GGBR4;GGBR4;;;;;;;GGBR4;GGBR4;;GGBR4;;GGBR4;;GGBR4;;GGBR4;;
GERDAU MET;ON N1;;;;;;;;;;;;;GOAU3;;;;;;GOAU3;;;;
GERDAU MET;PN N1;;GOAU4;GOAU4;GOAU4;GOAU4;;;;;;;GOAU4;GOAU4;;GOAU4;;GOAU4;;GOAU4;GOAU4;;GOAU4;
GOL;PN N2;;GOLL4;GOLL4;GOLL4;GOLL4;GOLL4;;;;;;GOLL4;GOLL4;;;;;;GOLL4;GOLL4;;GOLL4;
GOLDMANSACHS;DRN;GSGI34;;;;;;;;;;;;;;;;;;;;;;
GRAZZIOTIN;ON;;;;;;;;;;;;;;;;;;;CGRA3;;;;
GRAZZIOTIN;PN;;;;;;;;;;;;;;;;;;;CGRA4;;;;
GRENDENE;ON NM;;;GRND3;;;;GRND3;GRND3;;;;GRND3;GRND3;GRND3;;;GRND3;;GRND3;;;GRND3;
GUARARAPES;ON;;;GUAR3;;;;GUAR3;;;;;;;;;;;;;;;GUAR3;
HALLIBURTON;DRN;HALI34;;;;;;;;;;;;;;;;;;;;;;
HAPVIDA;ON NM;;;HAPV3;;HAPV3;;HAPV3;;;;;HAPV3;HAPV3;HAPV3;;;;;HAPV3;;HAPV3;;
HELBOR;ON NM;;;;;;;;;;;;;HBOR3;HBOR3;;;HBOR3;;HBOR3;;;;
HERSHEY CO;DRN;HSHY34;;;;;;;;;;;;;;;;;;;;;;
HOME DEPOT;DRN;HOME34;;;;;;;;;;;;;;;;;;;;;;
HONEYWELL;DRN;HONB34;;;;;;;;;;;;;;;;;;;;;;
HP COMPANY;DRN;HPQB34;;;;;;;;;;;;;;;;;;;;;;
HYPERA;ON NM;;HYPE3;HYPE3;HYPE3;HYPE3;HYPE3;HYPE3;;;;;HYPE3;HYPE3;HYPE3;;;;;HYPE3;HYPE3;HYPE3;;
IBM;DRN;IBMB34;;;;;;;;;;;;;;;;;;;;;;
IGUATEMI;ON NM;;IGTA3;IGTA3;;IGTA3;;;;;;;IGTA3;IGTA3;IGTA3;;IGTA3;;;IGTA3;IGTA3;;IGTA3;
IHPARDINI;ON NM;;;PARD3;;;;PARD3;;;;;PARD3;PARD3;PARD3;;;;;PARD3;;;PARD3;
IMC S/A;ON NM;;;MEAL3;;;;MEAL3;;;;;MEAL3;MEAL3;MEAL3;;;;;MEAL3;;;MEAL3;
INDS ROMI;ON NM;;;;;;;;;;;;;ROMI3;ROMI3;;;;;ROMI3;;;;
INDUSVAL;ON N2;;;;;;;;;;;;;;;;;;;IDVL3;;;;
INTEL;DRN;ITLC34;;;;;;;;;;;;;;;;;;;;;;
INTERMEDICA;ON NM;;;GNDI3;;GNDI3;;GNDI3;;;;;GNDI3;GNDI3;GNDI3;;;;;GNDI3;;GNDI3;;
IOCHP-MAXION;ON NM;;;MYPK3;;MYPK3;;MYPK3;;;;;MYPK3;MYPK3;MYPK3;;;MYPK3;;MYPK3;;;MYPK3;
IRBBRASIL RE;ON NM;;;IRBR3;;IRBR3;;;;;;IRBR3;IRBR3;IRBR3;IRBR3;;;;;IRBR3;IRBR3;IRBR3;;
ITAUSA;ON N1;;;;;;;;;;;;;ITSA3;;;;;;;;;;
ITAUSA;PN N1;;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;;ITSA4;;;ITSA4;ITSA4;ITSA4;;;;;ITSA4;ITSA4;;ITSA4;;
ITAUUNIBANCO;ON N1;;;ITUB3;;;;;ITUB3;;;ITUB3;ITUB3;ITUB3;;;;;ITUB3;;;ITUB3;;
ITAUUNIBANCO;PN N1;;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;;ITUB4;;;ITUB4;ITUB4;ITUB4;;;;;ITUB4;ITUB4;;ITUB4;;
JBS;ON NM;;JBSS3;JBSS3;JBSS3;JBSS3;JBSS3;JBSS3;;;;;JBSS3;JBSS3;JBSS3;;;JBSS3;;JBSS3;JBSS3;JBSS3;;
JHSF PART;ON NM;;;;;;;;;;;;;JHSF3;JHSF3;;;;;JHSF3;;;;
JOAO FORTES;ON;;;;;;;;;;;;;;;;;;;JFEN3;;;;
JOHNSON;DRN;JNJB34;;;;;;;;;;;;;;;;;;;;;;
JPMORGAN;DRN;JPMC34;;;;;;;;;;;;;;;;;;;;;;
JSL;ON NM;;;;;;;;;;;;;JSLG3;JSLG3;;;;;JSLG3;;;;
KEPLER WEBER;ON;;;;;;;;;;;;;;;;;;;KEPL3;;;;
KIMBERLY CL;DRN;KMBB34;;;;;;;;;;;;;;;;;;;;;;
KLABIN S/A;UNT N2;;KLBN11;KLBN11;KLBN11;KLBN11;KLBN11;;;;;;KLBN11;KLBN11;;KLBN11;;KLBN11;KLBN11;KLBN11;KLBN11;KLBN11;;
KRAFT HEINZ;DRN;KHCB34;;;;;;;;;;;;;;;;;;;;;;
KROTON;ON NM;;KROT3;KROT3;KROT3;KROT3;;KROT3;;;;;KROT3;KROT3;KROT3;;;;;KROT3;KROT3;KROT3;;
L BRANDS;DRN;LBRN34;;;;;;;;;;;;;;;;;;;;;;
LE LIS BLANC;ON NM;;;;;;;;;;;;;LLIS3;LLIS3;;;;;LLIS3;;;;
LIGHT S/A;ON NM;;;LIGT3;;LIGT3;;;;LIGT3;;;LIGT3;LIGT3;LIGT3;;;;LIGT3;LIGT3;;;LIGT3;LIGT3
LILLY;DRN;LILY34;;;;;;;;;;;;;;;;;;;;;;
LINX;ON NM;;;LINX3;;LINX3;;;;;;;LINX3;LINX3;LINX3;;;;;LINX3;;;LINX3;
LIQ;ON NM;;;;;;;;;;;;;LIQO3;LIQO3;;;;;LIQO3;;;;
LOCALIZA;ON NM;;RENT3;RENT3;RENT3;RENT3;;RENT3;;;;;RENT3;RENT3;RENT3;;;;;RENT3;RENT3;RENT3;;
LOCAMERICA;ON NM;;;LCAM3;;;;LCAM3;;;;;LCAM3;LCAM3;LCAM3;;;;;LCAM3;;;;
LOCKHEED;DRN;LMTB34;;;;;;;;;;;;;;;;;;;;;;
LOG COM PROP;ON NM;;LOGG3;LOGG3;;LOGG3;;LOGG3;LOGG3;;;;LOGG3;LOGG3;LOGG3;;LOGG3;;LOGG3;LOGG3;LOGG3;;LOGG3;
LOG-IN;ON NM;;;;;;;;;;;;;LOGN3;LOGN3;;;;;LOGN3;;;;
LOJAS AMERIC;ON N1;;;LAME3;;;;LAME3;;;;;LAME3;LAME3;;;;;LAME3;LAME3;;LAME3;;
LOJAS AMERIC;PN N1;;LAME4;LAME4;LAME4;LAME4;LAME4;LAME4;;;;;LAME4;LAME4;;;;;LAME4;LAME4;LAME4;LAME4;;
LOJAS MARISA;ON NM;;;AMAR3;;;;AMAR3;;;;;AMAR3;AMAR3;AMAR3;;;;;AMAR3;;;AMAR3;
LOJAS RENNER;ON NM;;LREN3;LREN3;LREN3;LREN3;LREN3;LREN3;;;;;LREN3;LREN3;LREN3;;;;LREN3;LREN3;LREN3;LREN3;;
LOPES BRASIL;ON NM;;;;;;;;;;;;;LPSB3;LPSB3;;;;;LPSB3;;;;
M.DIASBRANCO;ON NM;;;MDIA3;;MDIA3;;MDIA3;;;;;MDIA3;MDIA3;MDIA3;;;MDIA3;;MDIA3;;MDIA3;;
MAGAZ LUIZA;ON NM;;MGLU3;MGLU3;MGLU3;MGLU3;;MGLU3;;;;;MGLU3;MGLU3;MGLU3;;;;;MGLU3;MGLU3;MGLU3;;
MARCOPOLO;ON N2;;;;;;;;;;;;;POMO3;;;;;;POMO3;;;;
MARCOPOLO;PN N2;;;POMO4;;POMO4;;;;;;;POMO4;POMO4;;;;POMO4;;POMO4;;;POMO4;
MARFRIG;ON NM;;MRFG3;MRFG3;;MRFG3;;MRFG3;;;;;MRFG3;MRFG3;MRFG3;;;MRFG3;;MRFG3;;;MRFG3;
MASTERCARD;DRN;MSCD34;;;;;;;;;;;;;;;;;;;;;;
MCDONALDS;DRN;MCDC34;;;;;;;;;;;;;;;;;;;;;;
MERCK;DRN;MRCK34;;;;;;;;;;;;;;;;;;;;;;
METAL LEVE;ON NM;;;LEVE3;;;;LEVE3;;;;;LEVE3;LEVE3;LEVE3;;;LEVE3;;LEVE3;;;LEVE3;
METALFRIO;ON NM;;;;;;;;;;;;;;;;;;;FRIO3;;;;
METLIFE INC;DRN;METB34;;;;;;;;;;;;;;;;;;;;;;
MICROSOFT;DRN;MSFT34;;;;;;;;;;;;;;;;;;;;;;
MILLS;ON NM;;;;;;;;;;;;;MILS3;MILS3;;;;;MILS3;;;;
MINERVA;ON NM;;;BEEF3;;BEEF3;;BEEF3;;;;;BEEF3;BEEF3;BEEF3;;;BEEF3;;BEEF3;;;BEEF3;
MONDELEZ INT;DRN;MDLZ34;;;;;;;;;;;;;;;;;;;;;;
MORGAN STAN;DRN;MSBR34;;;;;;;;;;;;;;;;;;;;;;
MOSAIC CO;DRN;MOSC34;;;;;;;;;;;;;;;;;;;;;;
MOVIDA;ON NM;;;MOVI3;;;;MOVI3;;;;;MOVI3;MOVI3;MOVI3;;;;;MOVI3;;;MOVI3;
MRV;ON NM;;MRVE3;MRVE3;;MRVE3;;MRVE3;MRVE3;;;;MRVE3;MRVE3;MRVE3;;MRVE3;MRVE3;MRVE3;MRVE3;MRVE3;;MRVE3;
MULTIPLAN;ON N2;;MULT3;MULT3;;MULT3;;;;;;;MULT3;MULT3;;;MULT3;;;MULT3;MULT3;MULT3;;
MULTIPLUS;ON NM;;;MPLU3;;;;MPLU3;MPLU3;;;;MPLU3;MPLU3;MPLU3;;;;;MPLU3;;;MPLU3;
NATURA;ON NM;;NATU3;NATU3;NATU3;NATU3;NATU3;NATU3;;;;;NATU3;NATU3;NATU3;;;NATU3;NATU3;NATU3;NATU3;NATU3;;
NETFLIX;DRN;NFLX34;;;;;;;;;;;;;;;;;;;;;;
NIKE;DRN;NIKE34;;;;;;;;;;;;;;;;;;;;;;
ODONTOPREV;ON NM;;;ODPV3;;ODPV3;;ODPV3;;;;;ODPV3;ODPV3;ODPV3;;;;;ODPV3;;;ODPV3;
OMEGA GER;ON NM;;;OMGE3;;;;;;OMGE3;;;OMGE3;OMGE3;OMGE3;;;;;OMGE3;;;OMGE3;OMGE3
ORACLE;DRN;ORCL34;;;;;;;;;;;;;;;;;;;;;;
OUROFINO S/A;ON NM;;;;;;;;;;;;;OFSA3;OFSA3;;;;;OFSA3;;;;
P.ACUCAR-CBD;PN N1;;PCAR4;PCAR4;PCAR4;PCAR4;PCAR4;PCAR4;;;;;PCAR4;PCAR4;;;;;;;PCAR4;PCAR4;;
PARANAPANEMA;ON NM;;;;;;;;;;;;;PMAM3;PMAM3;;;PMAM3;;PMAM3;;;;
PEPSICO INC;DRN;PEPB34;;;;;;;;;;;;;;;;;;;;;;
PETROBRAS;ON N2;;PETR3;PETR3;PETR3;PETR3;PETR3;;;;;;PETR3;PETR3;;;;;;PETR3;;PETR3;;
PETROBRAS;PN N2;;PETR4;PETR4;PETR4;PETR4;PETR4;;;;;;PETR4;PETR4;;;;;;PETR4;;PETR4;;
PETROBRAS BR;ON NM;;BRDT3;BRDT3;BRDT3;BRDT3;;;;;;;BRDT3;BRDT3;BRDT3;;;;;BRDT3;BRDT3;BRDT3;;
PETRORIO;ON NM;;;PRIO3;;;;;;;;;PRIO3;PRIO3;PRIO3;;;;;PRIO3;;;PRIO3;
PETTENATI;PN;;;;;;;;;;;;;;;;;;;PTNT4;;;;
PFIZER;DRN;PFIZ34;;;;;;;;;;;;;;;;;;;;;;
PG;DRN;PGCO34;;;;;;;;;;;;;;;;;;;;;;
PINE;PN N2;;;;;;;;;;;;;PINE4;;;;;;PINE4;;;;
PORTO SEGURO;ON NM;;;PSSA3;;PSSA3;;;PSSA3;;;PSSA3;PSSA3;PSSA3;PSSA3;;;;;PSSA3;;PSSA3;;
PORTOBELLO;ON NM;;;;;;;;;;;;;PTBL3;PTBL3;;;PTBL3;;PTBL3;;;;
POSITIVO TEC;ON NM;;;;;;;;;;;;;POSI3;POSI3;;;;;POSI3;;;;
PROFARMA;ON NM;;;;;;;;;;;;;PFRM3;PFRM3;;;;;PFRM3;;;;
QGEP PART;ON NM;;;QGEP3;;QGEP3;;;;;;;QGEP3;QGEP3;QGEP3;;;;;QGEP3;;;QGEP3;
QUALCOMM;DRN;QCOM34;;;;;;;;;;;;;;;;;;;;;;
QUALICORP;ON NM;;QUAL3;QUAL3;QUAL3;QUAL3;;QUAL3;QUAL3;;;;QUAL3;QUAL3;QUAL3;;;;;QUAL3;QUAL3;;QUAL3;
RAIADROGASIL;ON NM;;RADL3;RADL3;RADL3;RADL3;;RADL3;;;;;RADL3;RADL3;RADL3;;;;;RADL3;RADL3;RADL3;;
RANDON PART;ON N1;;;;;;;;;;;;;RAPT3;;;;;;;;;;
RANDON PART;PN N1;;;RAPT4;;RAPT4;;;;;;;RAPT4;RAPT4;;;;RAPT4;;RAPT4;;;RAPT4;
RENOVA;ON N2;;;;;;;;;;;;;RNEW3;;;;;;RNEW3;;;;
RENOVA;PN N2;;;;;;;;;;;;;RNEW4;;;;;;RNEW4;;;;
RENOVA;UNT N2;;;;;;;;;RNEW11;;;;RNEW11;;;;;;RNEW11;;;;
RNI;ON NM;;;;;;;;;;;;;RDNI3;RDNI3;;;;;RDNI3;;;;
ROSSI RESID;ON NM;;;;;;;;;;;;;RSID3;RSID3;;;;;RSID3;;;;
RUMO S.A.;ON NM;;RAIL3;RAIL3;RAIL3;RAIL3;;;;;;;RAIL3;RAIL3;RAIL3;;;;;RAIL3;RAIL3;RAIL3;;
SABESP;ON NM;;SBSP3;SBSP3;;SBSP3;;;;;;;SBSP3;SBSP3;SBSP3;;;;;SBSP3;SBSP3;SBSP3;;SBSP3
SANEPAR;PN N2;;;SAPR4;;;;;;;;;SAPR4;SAPR4;;;;;;SAPR4;;;SAPR4;SAPR4
SANEPAR;UNT N2;;;SAPR11;;SAPR11;;;SAPR11;;;;SAPR11;SAPR11;;;;;;SAPR11;;;SAPR11;SAPR11
SANTANDER BR;UNT;;SANB11;SANB11;SANB11;SANB11;SANB11;;SANB11;;;SANB11;;;;;;;SANB11;SANB11;;SANB11;;
SANTOS BRP;ON NM;;;STBP3;;;;;;;;;STBP3;STBP3;STBP3;;;;;STBP3;;;STBP3;
SAO CARLOS;ON NM;;;;;;;;;;;;;SCAR3;SCAR3;;;;;SCAR3;;;;
SAO MARTINHO;ON NM;;;SMTO3;;SMTO3;;SMTO3;;;;;SMTO3;SMTO3;SMTO3;;;SMTO3;;SMTO3;;;SMTO3;
SCHLUMBERGER;DRN;SLBG34;;;;;;;;;;;;;;;;;;;;;;
SER EDUCA;ON NM;;;SEER3;;SEER3;;SEER3;;;;;SEER3;SEER3;SEER3;;;;;SEER3;;;SEER3;
SID NACIONAL;ON;;CSNA3;CSNA3;CSNA3;CSNA3;;;;;;;;;;CSNA3;;CSNA3;;;CSNA3;CSNA3;;
SIERRABRASIL;ON NM;;;;;;;;;;;;;SSBR3;SSBR3;;;;;SSBR3;;;;
SINQIA;ON NM;;;;;;;;;;;;;SQIA3;SQIA3;;;;;SQIA3;;;;
SLC AGRICOLA;ON NM;;;SLCE3;;SLCE3;;SLCE3;SLCE3;;;;SLCE3;SLCE3;SLCE3;;;;;SLCE3;;;SLCE3;
SMILES;ON NM;;SMLS3;SMLS3;;SMLS3;;SMLS3;;;;;SMLS3;SMLS3;SMLS3;;;;;SMLS3;SMLS3;;SMLS3;
SOMOS EDUCA;ON NM;;;;;;;;;;;;;SEDU3;SEDU3;;;;;SEDU3;;;;
SPRINGS;ON NM;;;;;;;;;;;;;SGPS3;SGPS3;;;;;SGPS3;;;;
STARBUCKS;DRN;SBUB34;;;;;;;;;;;;;;;;;;;;;;
SUL AMERICA;UNT N2;;;SULA11;;SULA11;;;;;;SULA11;SULA11;SULA11;;;;;;SULA11;;;SULA11;
SUZANO PAPEL;ON NM;;SUZB3;SUZB3;SUZB3;SUZB3;SUZB3;;;;;;SUZB3;SUZB3;SUZB3;SUZB3;;SUZB3;;SUZB3;SUZB3;SUZB3;;
TAESA;UNT N2;;TAEE11;TAEE11;;TAEE11;;;TAEE11;TAEE11;;;TAEE11;TAEE11;;;;;;TAEE11;TAEE11;;TAEE11;TAEE11
TARGET CORP;DRN;TGTB34;;;;;;;;;;;;;;;;;;;;;;
TARPON INV;ON NM;;;;;;;;;;;;;TRPN3;TRPN3;;;;;TRPN3;;;;
TECHNOS;ON NM;;;;;;;;;;;;;TECN3;TECN3;;;;;TECN3;;;;
TECNISA;ON NM;;;;;;;;;;;;;TCSA3;TCSA3;;;TCSA3;;TCSA3;;;;
TEGMA;ON NM;;;TGMA3;;;;;;;;;TGMA3;TGMA3;TGMA3;;;;;TGMA3;;;TGMA3;
TELEF BRASIL;PN;;VIVT4;VIVT4;VIVT4;VIVT4;VIVT4;;VIVT4;;;;;;;;;;VIVT4;;;VIVT4;;
TENDA;ON NM;;;TEND3;;TEND3;;TEND3;;;;;TEND3;TEND3;TEND3;;TEND3;TEND3;;TEND3;;;TEND3;
TERRA SANTA;ON NM;;;;;;;;;;;;;TESA3;TESA3;;;;;TESA3;;;;
TEXAS INC;DRN;TEXA34;;;;;;;;;;;;;;;;;;;;;;
TIFFANY;DRN;TIFF34;;;;;;;;;;;;;;;;;;;;;;
TIM PART S/A;ON NM;;TIMP3;TIMP3;TIMP3;TIMP3;TIMP3;;;;;;TIMP3;TIMP3;TIMP3;;;;TIMP3;TIMP3;TIMP3;TIMP3;;
TIME FOR FUN;ON NM;;;;;;;;;;;;;SHOW3;SHOW3;;;;;SHOW3;;;;
TOTVS;ON NM;;;TOTS3;;TOTS3;;;;;;;TOTS3;TOTS3;TOTS3;;;;;TOTS3;;;TOTS3;
TRAN PAULIST;PN N1;;;TRPL4;;TRPL4;;;TRPL4;TRPL4;;;TRPL4;TRPL4;;;;;;;;;TRPL4;TRPL4
TRISUL;ON NM;;;;;;;;;;;;;TRIS3;TRIS3;;;;;TRIS3;;;;
TUPY;ON NM;;;TUPY3;;TUPY3;;;TUPY3;;;;TUPY3;TUPY3;TUPY3;;;TUPY3;;TUPY3;;;TUPY3;
ULTRAPAR;ON NM;;UGPA3;UGPA3;UGPA3;UGPA3;UGPA3;;;;;;UGPA3;UGPA3;UGPA3;;;;;UGPA3;UGPA3;UGPA3;;
UNICASA;ON NM;;;;;;;;;;;;;UCAS3;UCAS3;;;;;UCAS3;;;;
UNIONPACIFIC;DRN;UPAC34;;;;;;;;;;;;;;;;;;;;;;
UNIPAR;PNB;;;UNIP6;;;;;UNIP6;;;;;;;UNIP6;;UNIP6;;;;;UNIP6;
UNITED TECH;DRN;UTEC34;;;;;;;;;;;;;;;;;;;;;;
UPS;DRN;UPSS34;;;;;;;;;;;;;;;;;;;;;;
US BANCORP;DRN;USBC34;;;;;;;;;;;;;;;;;;;;;;
USIMINAS;ON N1;;;;;;;;;;;;;USIM3;;;;;;;;;;
USIMINAS;PNA N1;;USIM5;USIM5;USIM5;USIM5;;;;;;;USIM5;USIM5;;USIM5;;USIM5;;;USIM5;USIM5;;
VALE;ON NM;;VALE3;VALE3;VALE3;VALE3;;;;;;;VALE3;VALE3;VALE3;VALE3;;;;VALE3;;VALE3;;
VALID;ON NM;;;VLID3;;VLID3;;;;;;;VLID3;VLID3;VLID3;;;;;VLID3;;;VLID3;
VERIZON;DRN;VERZ34;;;;;;;;;;;;;;;;;;;;;;
VIAVAREJO;ON NM;;VVAR3;VVAR3;VVAR3;VVAR3;;VVAR3;;;;;VVAR3;VVAR3;VVAR3;;;;;VVAR3;VVAR3;;VVAR3;
VISA INC;DRN;VISA34;;;;;;;;;;;;;;;;;;;;;;
VULCABRAS;ON NM;;;VULC3;;;;VULC3;;;;;VULC3;VULC3;VULC3;;;VULC3;;VULC3;;;VULC3;
WAL MART;DRN;WALM34;;;;;;;;;;;;;;;;;;;;;;
WALT DISNEY;DRN;DISB34;;;;;;;;;;;;;;;;;;;;;;
WEG;ON NM;;WEGE3;WEGE3;WEGE3;WEGE3;WEGE3;;;;;;WEGE3;WEGE3;WEGE3;;;WEGE3;WEGE3;WEGE3;WEGE3;WEGE3;;
WELLS FARGO;DRN;WFCO34;;;;;;;;;;;;;;;;;;;;;;
WESTERNUNION;DRN;WUNI34;;;;;;;;;;;;;;;;;;;;;;
WIZ S.A.;ON NM;;;WIZS3;;;;;;;;;WIZS3;WIZS3;WIZS3;;;;;WIZS3;;;WIZS3;
XEROX CORP;DRN;XRXB34;;;;;;;;;;;;;;;;;;;;;;